Frequency (Hz),Impedance (O),Angle (°)
100, 0.303396, 76.9648
103.032, 0.312141, 77.3335
106.156, 0.321144, 77.692
109.375, 0.330442, 78.0456
112.691, 0.340075, 78.3879
116.108, 0.349956, 78.7162
119.629, 0.360151, 79.041
123.256, 0.370703, 79.3561
126.993, 0.381552, 79.662
130.844, 0.392798, 79.955
134.811, 0.404317, 80.2444
138.899, 0.416277, 80.5332
143.111, 0.428544, 80.8061
147.45, 0.441162, 81.0682
151.921, 0.454228, 81.3218
156.527, 0.467687, 81.5841
161.273, 0.481567, 81.8214
166.163, 0.495887, 82.0621
171.202, 0.510699, 82.2888
176.393, 0.5259, 82.5153
181.741, 0.541542, 82.7293
187.252, 0.557743, 82.9437
192.929, 0.574399, 83.1493
198.779, 0.591543, 83.3461
204.807, 0.609244, 83.5411
211.017, 0.627477, 83.7293
217.415, 0.646269, 83.9123
224.007, 0.665648, 84.0903
230.799, 0.685641, 84.2613
237.797, 0.70623, 84.4305
245.008, 0.727424, 84.5905
252.437, 0.749376, 84.752
260.091, 0.771849, 84.9061
267.977, 0.795153, 85.0563
276.103, 0.819043, 85.2
284.474, 0.843682, 85.3388
293.1, 0.869143, 85.4776
301.987, 0.895281, 85.6085
311.144, 0.922308, 85.7379
320.578, 0.95014, 85.8628
330.298, 0.978761, 85.9822
340.313, 1.00829, 86.0991
350.632, 1.03871, 86.2176
361.264, 1.07012, 86.3278
372.218, 1.10245, 86.4334
383.504, 1.1357, 86.539
395.132, 1.16999, 86.6411
407.113, 1.20539, 86.7396
419.457, 1.24182, 86.8355
432.176, 1.27935, 86.9278
445.28, 1.31801, 87.0149
458.781, 1.35789, 87.1033
472.692, 1.39898, 87.1891
487.025, 1.44131, 87.2701
501.792, 1.48488, 87.3533
517.007, 1.5298, 87.4291
532.683, 1.57608, 87.5048
548.835, 1.62379, 87.579
565.476, 1.67297, 87.6489
582.622, 1.72356, 87.7175
600.288, 1.77572, 87.7846
618.489, 1.82947, 87.8496
637.243, 1.88488, 87.9132
656.565, 1.94195, 87.9734
676.473, 2.00074, 88.0342
696.984, 2.06137, 88.0918
718.118, 2.1238, 88.1478
739.892, 2.18809, 88.2021
762.326, 2.25442, 88.2533
785.441, 2.32273, 88.3058
809.256, 2.39308, 88.356
833.794, 2.46563, 88.4026
859.076, 2.54029, 88.4512
885.124, 2.61726, 88.4955
911.962, 2.69651, 88.5406
939.614, 2.77827, 88.5836
968.104, 2.86249, 88.6249
997.458, 2.94929, 88.6652
1027.7, 3.03868, 88.7054
1058.86, 3.13073, 88.7443
1090.97, 3.2257, 88.7811
1124.05, 3.32345, 88.8164
1158.13, 3.42416, 88.8502
1193.25, 3.52785, 88.8847
1229.43, 3.63482, 88.9188
1266.71, 3.74505, 88.9499
1305.11, 3.8586, 88.9795
1344.69, 3.97553, 89.0112
1385.46, 4.09616, 89.04
1427.47, 4.22026, 89.068
1470.75, 4.34849, 89.0949
1515.35, 4.48024, 89.1221
1561.29, 4.61611, 89.1452
1608.63, 4.75597, 89.1724
1657.41, 4.90034, 89.1966
1707.67, 5.04877, 89.2191
1759.44, 5.20183, 89.2421
1812.79, 5.35989, 89.2678
1867.76, 5.5224, 89.2851
1924.39, 5.68964, 89.3076
1982.74, 5.86246, 89.3257
2042.86, 6.04036, 89.3502
2104.8, 6.22368, 89.3663
2168.62, 6.41263, 89.3878
2234.38, 6.6068, 89.4027
2302.13, 6.80692, 89.4175
2371.93, 7.01334, 89.4361
2443.85, 7.22595, 89.4517
2517.95, 7.44503, 89.4683
2594.3, 7.67069, 89.4825
2672.96, 7.90337, 89.4957
2754.01, 8.14273, 89.511
2837.51, 8.38977, 89.5247
2923.55, 8.64364, 89.5381
3012.2, 8.90601, 89.5518
3103.53, 9.17616, 89.5676
3197.63, 9.45373, 89.5758
3294.59, 9.74077, 89.5902
3394.48, 10.0357, 89.6011
3497.41, 10.3397, 89.6135
3603.46, 10.6537, 89.6215
3712.72, 10.9773, 89.6342
3825.29, 11.3101, 89.641
3941.28, 11.6533, 89.6534
4060.78, 12.0065, 89.6628
4183.91, 12.3697, 89.6727
4310.77, 12.7427, 89.6822
4441.48, 13.1292, 89.6922
4576.15, 13.527, 89.6993
4714.91, 13.9367, 89.7103
4857.87, 14.3593, 89.7159
5005.17, 14.7948, 89.7256
5156.93, 15.2439, 89.7313
5313.29, 15.706, 89.7402
5474.4, 16.1817, 89.7485
5640.39, 16.6718, 89.7564
5811.41, 17.1772, 89.762
5987.62, 17.6975, 89.7691
6169.17, 18.2347, 89.7741
6356.23, 18.7876, 89.7813
6548.96, 19.3571, 89.7871
6747.53, 19.9442, 89.7947
6952.13, 20.5479, 89.7997
7162.92, 21.1726, 89.8045
7380.11, 21.8145, 89.8114
7603.89, 22.4752, 89.8184
7834.45, 23.1571, 89.8226
8072, 23.8597, 89.8269
8316.75, 24.5831, 89.832
8568.92, 25.329, 89.8372
8828.74, 26.0971, 89.8428
9096.44, 26.8894, 89.8468
9372.26, 27.7045, 89.8523
9656.44, 28.5442, 89.8554
9949.23, 29.41, 89.8591
10250.9, 30.3009, 89.8629
10561.7, 31.2209, 89.8663
10882, 32.1673, 89.8711
11211.9, 33.1427, 89.8745
11551.9, 34.1484, 89.8774
11902.2, 35.184, 89.8811
12263, 36.2515, 89.8859
12634.9, 37.3527, 89.8889
13018, 38.4853, 89.8899
13412.7, 39.6526, 89.8943
13819.4, 40.8557, 89.8971
14238.4, 42.0951, 89.9
14670.1, 43.3719, 89.9041
15115, 44.6899, 89.9053
15573.3, 46.0461, 89.9094
16045.5, 47.443, 89.911
16532, 48.8848, 89.9133
17033.2, 50.3687, 89.9158
17549.7, 51.8974, 89.9186
18081.8, 53.4727, 89.9205
18630.1, 55.0969, 89.9218
19195, 56.7705, 89.9258
19777, 58.4917, 89.9284
20376.7, 60.2695, 89.93
20994.5, 62.1008, 89.9323
21631.1, 63.9887, 89.934
22287, 65.9336, 89.9354
22962.8, 67.9357, 89.9386
23659, 69.9993, 89.9415
24376.4, 72.1292, 89.9421
25115.5, 74.3203, 89.9439
25877, 76.5802, 89.9449
26661.7, 78.9093, 89.9459
27470.1, 81.3088, 89.9495
28303, 83.7859, 89.9504
29161.2, 86.3342, 89.9518
30045.4, 88.9632, 89.9535
30956.4, 91.6717, 89.9539
31895.1, 94.4622, 89.9562
32862.2, 97.3396, 89.9579
33858.6, 100.306, 89.9595
34885.2, 103.362, 89.9612
35943, 106.513, 89.9622
37032.8, 109.763, 89.9635
38155.7, 113.113, 89.965
39312.6, 116.564, 89.9648
40504.6, 120.122, 89.9673
41732.8, 123.794, 89.9686
42998.2, 127.577, 89.9699
44301.9, 131.478, 89.9697
45645.2, 135.506, 89.9707
47029.2, 139.651, 89.9716
48455.2, 143.93, 89.9716
49924.4, 148.341, 89.9723
51438.2, 152.895, 89.9747
52997.9, 157.595, 89.9775
54604.8, 162.42, 89.9738
56260.5, 167.421, 89.9788
57966.4, 172.587, 89.9805
59724, 177.886, 89.9794
61535, 183.397, 89.9793
63400.8, 189.036, 89.9836
65323.2, 194.883, 89.9878
67303.8, 200.903, 89.9849
69344.6, 207.141, 89.9841
71447.2, 213.55, 89.9833
73613.6, 220.198, 89.9876
75845.6, 227.013, 89.9952
