Frequency (Hz),Impedance (O),Angle (°)
100, 0.738508, 84.6556
103.032, 0.760728, 84.8058
106.156, 0.783615, 84.9565
109.375, 0.807234, 85.1044
112.691, 0.831522, 85.2451
116.108, 0.856563, 85.3839
119.629, 0.882362, 85.519
123.256, 0.908942, 85.646
126.993, 0.936358, 85.7752
130.844, 0.964585, 85.8917
134.811, 0.993634, 86.0141
138.899, 1.02376, 86.1301
143.111, 1.05468, 86.2406
147.45, 1.08636, 86.3529
151.921, 1.11916, 86.4561
156.527, 1.15309, 86.5647
161.273, 1.18783, 86.6604
166.163, 1.22373, 86.7593
171.202, 1.26079, 86.8479
176.393, 1.2989, 86.9392
181.741, 1.33809, 87.0289
187.252, 1.37864, 87.1146
192.929, 1.42032, 87.1987
198.779, 1.46325, 87.2804
204.807, 1.50135, 87.3453
211.017, 1.54665, 87.421
217.415, 1.59374, 87.4953
224.007, 1.64205, 87.5684
230.799, 1.69188, 87.6367
237.797, 1.74345, 87.7064
245.008, 1.79639, 87.7727
252.437, 1.85118, 87.8394
260.091, 1.90753, 87.9065
267.977, 1.96497, 87.9655
276.103, 2.02415, 88.0235
284.474, 2.09001, 88.0848
293.1, 2.15521, 88.1376
301.987, 2.21923, 88.1901
311.144, 2.28684, 88.2457
320.578, 2.35654, 88.2961
330.298, 2.42826, 88.3429
340.313, 2.50214, 88.392
350.632, 2.57886, 88.4377
361.264, 2.65838, 88.4826
372.218, 2.73985, 88.5259
383.504, 2.82348, 88.5682
395.132, 2.90901, 88.6092
407.113, 2.99727, 88.6496
419.457, 3.08794, 88.689
432.176, 3.18124, 88.7253
445.28, 3.27723, 88.7616
458.781, 3.37625, 88.7973
472.692, 3.47835, 88.8317
487.025, 3.58383, 88.8651
501.792, 3.69228, 88.8961
517.007, 3.8042, 88.9275
532.683, 3.9194, 88.9581
548.835, 4.0381, 88.9877
565.476, 4.16026, 89.0164
582.622, 4.28626, 89.0445
600.288, 4.4162, 89.0712
618.489, 4.55, 89.0975
637.243, 4.68789, 89.1224
656.565, 4.83005, 89.1477
676.473, 4.97629, 89.1708
696.984, 5.12693, 89.1948
718.118, 5.28232, 89.2172
739.892, 5.44238, 89.2385
762.326, 5.60729, 89.2601
785.441, 5.77712, 89.2807
809.256, 5.95252, 89.3003
833.794, 6.13282, 89.3204
859.076, 6.31898, 89.3393
885.124, 6.51055, 89.3568
911.962, 6.70807, 89.3734
939.614, 6.91145, 89.3928
968.104, 7.12091, 89.409
997.458, 7.33696, 89.4249
1027.7, 7.55918, 89.4417
1058.86, 7.7884, 89.4594
1090.97, 8.02455, 89.4723
1124.05, 8.26764, 89.4888
1158.13, 8.51749, 89.4982
1193.25, 8.77576, 89.5138
1229.43, 9.04141, 89.5256
1266.71, 9.31575, 89.5411
1305.11, 9.59739, 89.5534
1344.69, 9.88861, 89.5665
1385.46, 10.1886, 89.575
1427.47, 10.4976, 89.5883
1470.75, 10.8153, 89.5982
1515.35, 11.1436, 89.6082
1561.29, 11.4817, 89.6214
1608.63, 11.8299, 89.6309
1657.41, 12.1886, 89.6403
1707.67, 12.5587, 89.6485
1759.44, 12.9396, 89.6587
1812.79, 13.3312, 89.6668
1867.76, 13.7349, 89.6779
1924.39, 14.1515, 89.6834
1982.74, 14.5807, 89.6937
2042.86, 15.0229, 89.7003
2104.8, 15.4779, 89.7088
2168.62, 15.9471, 89.7165
2234.38, 16.4311, 89.7249
2302.13, 16.929, 89.7291
2371.93, 17.4424, 89.736
2443.85, 17.9707, 89.7428
2517.95, 18.5151, 89.7501
2594.3, 19.0765, 89.7554
2672.96, 19.6553, 89.763
2754.01, 20.2508, 89.7686
2837.51, 20.8649, 89.7725
2923.55, 21.4976, 89.7778
3012.2, 22.149, 89.7819
3103.53, 22.8193, 89.7892
3197.63, 23.5123, 89.7956
3294.59, 24.2247, 89.7985
3394.48, 24.9588, 89.8033
3497.41, 25.716, 89.8079
3603.46, 26.4957, 89.8126
3712.72, 27.2992, 89.8176
3825.29, 28.1263, 89.8219
3941.28, 28.978, 89.8244
4060.78, 29.856, 89.8295
4183.91, 30.762, 89.8347
4310.77, 31.6942, 89.8383
4441.48, 32.6551, 89.8419
4576.15, 33.6453, 89.8454
4714.91, 34.6656, 89.8482
4857.87, 35.7187, 89.8511
5005.17, 36.8017, 89.856
5156.93, 37.9173, 89.858
5313.29, 39.0681, 89.8623
5474.4, 40.2524, 89.8644
5640.39, 41.4719, 89.8664
5811.41, 42.7281, 89.872
5987.62, 44.0227, 89.8741
6169.17, 45.3565, 89.8768
6356.23, 46.7296, 89.8797
6548.96, 48.1461, 89.8828
6747.53, 49.6054, 89.8841
6952.13, 51.1082, 89.8885
7162.92, 52.658, 89.8893
7380.11, 54.2518, 89.8926
7603.89, 55.8974, 89.8964
7834.45, 57.593, 89.8977
8072, 59.3362, 89.9003
8316.75, 61.1365, 89.9013
8568.92, 62.9859, 89.9051
8828.74, 64.8979, 89.9079
9096.44, 66.8655, 89.9076
9372.26, 68.8952, 89.9098
9656.44, 70.9828, 89.9128
9949.23, 73.1353, 89.9153
10250.9, 75.352, 89.915
10561.7, 77.6375, 89.9177
10882, 79.993, 89.9182
11211.9, 82.4184, 89.9207
11551.9, 84.9178, 89.9234
11902.2, 87.4934, 89.9241
12263, 90.1445, 89.9255
12634.9, 92.8788, 89.9275
13018, 95.6992, 89.9289
13412.7, 98.6012, 89.9305
13819.4, 101.594, 89.9324
14238.4, 104.678, 89.9338
14670.1, 107.853, 89.9354
15115, 111.131, 89.9366
15573.3, 114.504, 89.9379
16045.5, 117.984, 89.9392
16532, 121.566, 89.9399
17033.2, 125.263, 89.9416
17549.7, 129.073, 89.9435
18081.8, 132.998, 89.9436
18630.1, 137.044, 89.9456
19195, 141.21, 89.9457
19777, 145.509, 89.9472
20376.7, 149.934, 89.9485
20994.5, 154.501, 89.9489
21631.1, 159.199, 89.9514
22287, 164.05, 89.9524
22962.8, 169.05, 89.9534
23659, 174.2, 89.9534
24376.4, 179.509, 89.9553
25115.5, 184.985, 89.956
25877, 190.634, 89.9573
26661.7, 196.453, 89.9569
27470.1, 202.457, 89.9583
28303, 208.64, 89.9593
29161.2, 215.02, 89.9601
30045.4, 221.606, 89.9607
30956.4, 228.389, 89.9614
31895.1, 235.382, 89.9633
32862.2, 242.6, 89.9627
33858.6, 250.047, 89.9635
34885.2, 257.724, 89.9644
35943, 265.646, 89.9649
37032.8, 273.81, 89.9652
38155.7, 282.246, 89.9656
39312.6, 290.948, 89.9655
40504.6, 299.933, 89.9681
41732.8, 309.201, 89.9677
42998.2, 318.77, 89.9691
44301.9, 328.643, 89.9675
45645.2, 338.829, 89.9684
47029.2, 349.356, 89.9672
48455.2, 360.229, 89.9691
49924.4, 371.446, 89.9712
51438.2, 383.082, 89.9749
52997.9, 395.047, 89.9728
54604.8, 407.409, 89.9711
56260.5, 420.212, 89.9675
57966.4, 433.4, 89.9653
59724, 447.023, 89.966
61535, 461.17, 89.9724
63400.8, 475.799, 89.9735
65323.2, 490.953, 89.9728
67303.8, 506.66, 89.9646
69344.6, 522.796, 89.9665
71447.2, 539.472, 89.9668
73613.6, 556.867, 89.9662
75845.6, 574.858, 89.9613
78145.3, 593.47, 89.9619
80514.8, 612.721, 89.956
82956.1, 632.795, 89.9555
85471.5, 653.56, 89.9573
88063.1, 675.133, 89.9487
90733.2, 697.55, 89.9521
93484.4, 720.795, 89.9421
