LECROYHDO8108A,60934,Waveform
Segments,1,SegmentSize,100002
Segment,TrigTime,TimeSinceSegment1
#1,23-Dec-2021 15:57:23,0                 
Time,Ampl
6.53999221e-05,-3.252
6.54000221e-05,-3.248
6.54001221e-05,-3.24562
6.54002221e-05,-3.24463
6.54003221e-05,-3.24438
6.54004221e-05,-3.244
6.54005221e-05,-3.24262
6.54006221e-05,-3.24012
6.54007221e-05,-3.23687
6.54008221e-05,-3.234
6.54009221e-05,-3.232
6.54010221e-05,-3.231
6.54011221e-05,-3.2305
6.54012221e-05,-3.23
6.54013221e-05,-3.22875
6.54014221e-05,-3.22662
6.54015221e-05,-3.22412
6.54016221e-05,-3.222
6.54017221e-05,-3.22087
6.54018221e-05,-3.221
6.54019221e-05,-3.22225
6.54020221e-05,-3.224
6.54021221e-05,-3.22562
6.54022221e-05,-3.22675
6.54023221e-05,-3.2275
6.54024221e-05,-3.228
6.54025221e-05,-3.22838
6.54026221e-05,-3.22863
6.54027221e-05,-3.22863
6.54028221e-05,-3.228
6.54029221e-05,-3.227
6.54030221e-05,-3.22588
6.54031221e-05,-3.22538
6.54032221e-05,-3.226
6.54033221e-05,-3.22812
6.54034221e-05,-3.23137
6.54035221e-05,-3.235
6.54036221e-05,-3.238
6.54037221e-05,-3.23988
6.54038221e-05,-3.24038
6.54039221e-05,-3.24012
6.54040221e-05,-3.24
6.54041221e-05,-3.24075
6.54042221e-05,-3.24288
6.54043221e-05,-3.24625
6.54044221e-05,-3.25
6.54045221e-05,-3.2535
6.54046221e-05,-3.25612
6.54047221e-05,-3.2575
6.54048221e-05,-3.258
6.54049221e-05,-3.25825
6.54050221e-05,-3.25888
6.54051221e-05,-3.26075
6.54052221e-05,-3.264
6.54053221e-05,-3.26875
6.54054221e-05,-3.2745
6.54055221e-05,-3.28063
6.54056221e-05,-3.286
6.54057221e-05,-3.29
6.54058221e-05,-3.29212
6.54059221e-05,-3.2925
6.54060221e-05,-3.292
6.54061221e-05,-3.29163
6.54062221e-05,-3.29225
6.54063221e-05,-3.2945
6.54064221e-05,-3.298
6.54065221e-05,-3.302
6.54066221e-05,-3.3055
6.54067221e-05,-3.3075
6.54068221e-05,-3.308
6.54069221e-05,-3.30775
6.54070221e-05,-3.30775
6.54071221e-05,-3.30912
6.54072221e-05,-3.312
6.54073221e-05,-3.316
6.54074221e-05,-3.32
6.54075221e-05,-3.32275
6.54076221e-05,-3.324
6.54077221e-05,-3.324
6.54078221e-05,-3.32388
6.54079221e-05,-3.325
6.54080221e-05,-3.328
6.54081221e-05,-3.3325
6.54082221e-05,-3.33763
6.54083221e-05,-3.34175
6.54084221e-05,-3.344
6.54085221e-05,-3.3445
6.54086221e-05,-3.34413
6.54087221e-05,-3.34437
6.54088221e-05,-3.346
6.54089221e-05,-3.34925
6.54090221e-05,-3.35312
6.54091221e-05,-3.35637
6.54092221e-05,-3.358
6.54093221e-05,-3.35775
6.54094221e-05,-3.35637
6.54095221e-05,-3.35537
6.54096221e-05,-3.356
6.54097221e-05,-3.3585
6.54098221e-05,-3.36225
6.54099221e-05,-3.36587
