Model,MSO4104
Firmware Version,2.48

Point Format,Y,,,
Horizontal Units,S,,,
Horizontal Scale,1e-06,,,
Sample Interval,1e-09,,,
Record Length,10000,,,
Gating,0.0% to 100.0%,0.0% to 100.0%,0.0% to 100.0%,0.0% to 100.0%
Probe Attenuation,500,500,10,10
Vertical Units,V,V,A,A
Vertical Offset,0,0,0,0
Vertical Scale,500,100,1,2
Label,,,,
TIME,CH1,CH2,CH3,CH4
-5.0000e-06,70,-196,-4.18,-8.44
-4.9990e-06,130,-188,-4.06,-8.44
-4.9980e-06,130,-188,-4.06,-8.44
-4.9970e-06,170,-184,-4.06,-8.44
-4.9960e-06,230,-184,-3.94,-8.44
-4.9950e-06,270,-192,-3.98,-8.36
-4.9940e-06,310,-192,-4.14,-8.2
-4.9930e-06,330,-188,-4.22,-8.2
-4.9920e-06,350,-188,-4.34,-8.2
-4.9910e-06,390,-196,-4.5,-7.96
-4.9900e-06,430,-200,-4.54,-8.12
-4.9890e-06,470,-200,-4.62,-8.04
-4.9880e-06,530,-192,-4.66,-7.96
-4.9870e-06,490,-192,-4.74,-7.88
-4.9860e-06,570,-188,-4.66,-7.8
-4.9850e-06,590,-188,-4.62,-7.8
-4.9840e-06,610,-196,-4.5,-7.72
-4.9830e-06,630,-184,-4.38,-7.8
-4.9820e-06,630,-180,-4.38,-7.72
-4.9810e-06,630,-180,-4.38,-7.8
-4.9800e-06,650,-196,-4.34,-7.56
-4.9790e-06,690,-192,-4.42,-7.56
-4.9780e-06,690,-188,-4.54,-7.56
-4.9770e-06,710,-192,-4.58,-7.56
-4.9760e-06,690,-188,-4.7,-7.4
-4.9750e-06,750,-192,-4.74,-7.4
-4.9740e-06,790,-188,-4.82,-7.4
-4.9730e-06,810,-188,-4.78,-7.32
-4.9720e-06,810,-188,-4.62,-7.16
-4.9710e-06,790,-188,-4.66,-7.24
-4.9700e-06,830,-188,-4.58,-7.08
-4.9690e-06,830,-180,-4.5,-7.24
-4.9680e-06,870,-192,-4.42,-7.16
-4.9670e-06,810,-192,-4.38,-7.16
-4.9660e-06,870,-192,-4.26,-7.16
-4.9650e-06,830,-192,-4.26,-7.08
-4.9640e-06,850,-196,-4.26,-6.92
-4.9630e-06,810,-196,-4.34,-7
-4.9620e-06,830,-192,-4.42,-6.84
-4.9610e-06,790,-192,-4.46,-6.84
-4.9600e-06,830,-192,-4.46,-6.76
-4.9590e-06,810,-192,-4.54,-6.76
-4.9580e-06,830,-188,-4.54,-6.68
-4.9570e-06,810,-192,-4.54,-6.84
-4.9560e-06,810,-192,-4.46,-6.68
-4.9550e-06,810,-192,-4.42,-6.68
-4.9540e-06,810,-188,-4.26,-6.68
-4.9530e-06,790,-188,-4.14,-6.68
-4.9520e-06,830,-192,-3.98,-6.68
-4.9510e-06,850,-192,-3.9,-6.52
-4.9500e-06,810,-196,-3.82,-6.44
-4.9490e-06,810,-188,-3.86,-6.44
-4.9480e-06,850,-200,-3.82,-6.44
-4.9470e-06,810,-200,-3.86,-6.44
-4.9460e-06,850,-196,-3.9,-6.28
-4.9450e-06,790,-192,-4.1,-6.28
-4.9440e-06,810,-192,-4.14,-6.2
-4.9430e-06,790,-192,-4.14,-6.2
-4.9420e-06,850,-192,-4.14,-6.12
-4.9410e-06,810,-192,-4.06,-6.12
-4.9400e-06,790,-192,-4.1,-6.12
-4.9390e-06,850,-188,-4.02,-6.12
-4.9380e-06,810,-196,-3.98,-5.8
-4.9370e-06,810,-188,-3.94,-5.96
-4.9360e-06,830,-192,-3.9,-5.88
-4.9350e-06,810,-192,-3.9,-5.96
-4.9340e-06,810,-192,-3.9,-5.72
-4.9330e-06,790,-192,-3.82,-5.8
-4.9320e-06,830,-188,-3.74,-5.72
-4.9310e-06,790,-192,-3.82,-5.72
-4.9300e-06,850,-192,-3.82,-5.56
-4.9290e-06,850,-192,-3.82,-5.48
-4.9280e-06,830,-188,-3.86,-5.56
-4.9270e-06,810,-192,-3.74,-5.48
-4.9260e-06,830,-188,-3.74,-5.4
-4.9250e-06,810,-188,-3.74,-5.4
-4.9240e-06,830,-188,-3.74,-5.24
-4.9230e-06,810,-188,-3.7,-5.32
-4.9220e-06,830,-188,-3.66,-5.24
-4.9210e-06,850,-180,-3.66,-5.32
-4.9200e-06,810,-200,-3.66,-5.24
-4.9190e-06,810,-192,-3.62,-5.24
-4.9180e-06,830,-188,-3.54,-5.08
-4.9170e-06,830,-184,-3.54,-5.08
-4.9160e-06,810,-196,-3.62,-5
-4.9150e-06,830,-188,-3.66,-4.92
-4.9140e-06,830,-196,-3.58,-4.92
-4.9130e-06,790,-184,-3.62,-4.92
-4.9120e-06,790,-192,-3.62,-4.76
-4.9110e-06,830,-192,-3.5,-4.84
-4.9100e-06,830,-192,-3.46,-4.84
-4.9090e-06,830,-188,-3.42,-4.76
-4.9080e-06,850,-192,-3.42,-4.52
-4.9070e-06,790,-184,-3.42,-4.76
-4.9060e-06,850,-192,-3.34,-4.68
-4.9050e-06,830,-188,-3.42,-4.52
-4.9040e-06,790,-192,-3.3,-4.44
-4.9030e-06,810,-192,-3.38,-4.52
-4.9020e-06,830,-192,-3.38,-4.36
-4.9010e-06,810,-196,-3.34,-4.52
-4.9000e-06,810,-188,-3.38,-4.36
-4.8990e-06,810,-196,-3.42,-4.36
-4.8980e-06,850,-188,-3.34,-4.28
-4.8970e-06,830,-192,-3.42,-4.2
-4.8960e-06,810,-196,-3.3,-4.12
-4.8950e-06,830,-188,-3.3,-4.04
-4.8940e-06,810,-196,-3.26,-3.96
-4.8930e-06,790,-188,-3.3,-4.12
-4.8920e-06,850,-192,-3.14,-4.04
-4.8910e-06,830,-196,-3.18,-3.88
-4.8900e-06,850,-196,-3.14,-3.96
-4.8890e-06,810,-188,-3.1,-3.88
-4.8880e-06,830,-192,-3.06,-3.8
-4.8870e-06,810,-192,-2.98,-3.88
-4.8860e-06,850,-192,-2.94,-3.72
-4.8850e-06,810,-192,-2.98,-3.8
-4.8840e-06,830,-192,-2.98,-3.64
-4.8830e-06,810,-188,-2.98,-3.72
-4.8820e-06,830,-192,-2.94,-3.56
-4.8810e-06,810,-184,-2.9,-3.64
-4.8800e-06,830,-188,-2.9,-3.56
-4.8790e-06,850,-192,-2.9,-3.56
-4.8780e-06,850,-196,-2.94,-3.48
-4.8770e-06,830,-188,-2.82,-3.48
-4.8760e-06,830,-184,-2.78,-3.24
-4.8750e-06,790,-188,-2.74,-3.24
-4.8740e-06,810,-192,-2.74,-3.24
-4.8730e-06,810,-188,-2.7,-3.24
-4.8720e-06,850,-192,-2.66,-3.16
-4.8710e-06,850,-192,-2.66,-3.16
-4.8700e-06,790,-188,-2.66,-3.08
-4.8690e-06,810,-192,-2.7,-3
-4.8680e-06,870,-192,-2.66,-2.92
-4.8670e-06,830,-188,-2.58,-3.08
-4.8660e-06,790,-184,-2.66,-2.76
-4.8650e-06,810,-188,-2.62,-2.76
-4.8640e-06,810,-188,-2.62,-2.68
-4.8630e-06,830,-184,-2.62,-2.76
-4.8620e-06,790,-184,-2.7,-2.68
-4.8610e-06,810,-180,-2.66,-2.68
-4.8600e-06,830,-192,-2.7,-2.52
-4.8590e-06,790,-188,-2.7,-2.44
-4.8580e-06,810,-184,-2.7,-2.44
-4.8570e-06,810,-184,-2.66,-2.36
